EventDate,IngestedAt,EventID,EventName,EventType,Format,Season,LoginID,Name,Placement,PointsAwarded
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,2390663,haoqinglangou,20,0
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,2908947,manohito,21,0
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,2232658,xl_snapcaster,22,0
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,1126161,alexeezayyy,23,0
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,1739534,liuyuchen,24,0
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,574591,Watchwolf92,25,0
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,3224244,PoderosissimoNinja,26,0
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,2498069,_Falcon_,27,0
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,240494,Ares80,28,0
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,3489335,Pallocchia314,29,0
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,2129541,Mistakenn,30,0
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,3154401,makaaaa,31,0
2026-09-03,2026-09-05T06:16:07Z,12853667,Modern Challenge 64,challenge,modern,Autumn 2026,3549549,tuckedaway,32,0
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,574591,Watchwolf92,1,5
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,1226387,D00mwake,2,4
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,2232658,xl_snapcaster,3,3
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,2272105,pepeteam,4,3
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,2700947,Retrisma,5,2
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,2680052,Uagli1,6,2
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,3076886,Thunus,7,2
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,254536,rastaf,8,2
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,964394,LordEgg,9,1
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,815932,unagieel,10,1
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,2916622,Rosiedog88,11,1
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,2720911,Cachorrowo,12,1
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,3477626,Serosocram,13,1
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,3272344,RitualGlitchZ,14,1
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,1700365,Tetsubou,15,1
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,2569009,TrueHero,16,1
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,3488559,DeepDisherino,17,0
2026-09-04,2026-09-06T06:15:37Z,12853677,Modern Challenge 64,challenge,modern,Autumn 2026,1923667,RigelWeenie,18,0
